id,dialect,dialect_text,dialect_phonetic,mandarin_text,english_translation,domain_context,audio_file_path,speaker_metadata
000001,Cantonese,Simulated Cantonese sentence 1,IPA/Romanized for Cantonese 1,模擬的普通話句子 1,Simulated English translation 1,food,voices/cantonese/000001.wav,"{""age"": 58, ""gender"": ""female"", ""region"": ""Malaysia""}"
000002,Cantonese,Simulated Cantonese sentence 2,IPA/Romanized for Cantonese 2,模擬的普通話句子 2,Simulated English translation 2,food,voices/cantonese/000002.wav,"{""age"": 36, ""gender"": ""male"", ""region"": ""Malaysia""}"
000003,Cantonese,Simulated Cantonese sentence 3,IPA/Romanized for Cantonese 3,模擬的普通話句子 3,Simulated English translation 3,daily_conversation,voices/cantonese/000003.wav,"{""age"": 34, ""gender"": ""male"", ""region"": ""Malaysia""}"
000004,Cantonese,Simulated Cantonese sentence 4,IPA/Romanized for Cantonese 4,模擬的普通話句子 4,Simulated English translation 4,public_services,voices/cantonese/000004.wav,"{""age"": 38, ""gender"": ""male"", ""region"": ""Malaysia""}"
000005,Cantonese,Simulated Cantonese sentence 5,IPA/Romanized for Cantonese 5,模擬的普通話句子 5,Simulated English translation 5,healthcare,voices/cantonese/000005.wav,"{""age"": 46, ""gender"": ""female"", ""region"": ""Singapore""}"
000006,Cantonese,Simulated Cantonese sentence 6,IPA/Romanized for Cantonese 6,模擬的普通話句子 6,Simulated English translation 6,healthcare,voices/cantonese/000006.wav,"{""age"": 23, ""gender"": ""female"", ""region"": ""Malaysia""}"
000007,Cantonese,Simulated Cantonese sentence 7,IPA/Romanized for Cantonese 7,模擬的普通話句子 7,Simulated English translation 7,directions,voices/cantonese/000007.wav,"{""age"": 68, ""gender"": ""female"", ""region"": ""Malaysia""}"
000008,Cantonese,Simulated Cantonese sentence 8,IPA/Romanized for Cantonese 8,模擬的普通話句子 8,Simulated English translation 8,directions,voices/cantonese/000008.wav,"{""age"": 65, ""gender"": ""male"", ""region"": ""Singapore""}"
000009,Cantonese,Simulated Cantonese sentence 9,IPA/Romanized for Cantonese 9,模擬的普通話句子 9,Simulated English translation 9,workplace,voices/cantonese/000009.wav,"{""age"": 63, ""gender"": ""male"", ""region"": ""Singapore""}"
000010,Cantonese,Simulated Cantonese sentence 10,IPA/Romanized for Cantonese 10,模擬的普通話句子 10,Simulated English translation 10,daily_conversation,voices/cantonese/000010.wav,"{""age"": 49, ""gender"": ""male"", ""region"": ""Singapore""}"
000011,Cantonese,Simulated Cantonese sentence 11,IPA/Romanized for Cantonese 11,模擬的普通話句子 11,Simulated English translation 11,public_services,voices/cantonese/000011.wav,"{""age"": 37, ""gender"": ""male"", ""region"": ""Malaysia""}"
000012,Cantonese,Simulated Cantonese sentence 12,IPA/Romanized for Cantonese 12,模擬的普通話句子 12,Simulated English translation 12,healthcare,voices/cantonese/000012.wav,"{""age"": 64, ""gender"": ""female"", ""region"": ""Malaysia""}"
000013,Cantonese,Simulated Cantonese sentence 13,IPA/Romanized for Cantonese 13,模擬的普通話句子 13,Simulated English translation 13,food,voices/cantonese/000013.wav,"{""age"": 37, ""gender"": ""male"", ""region"": ""Malaysia""}"
000014,Cantonese,Simulated Cantonese sentence 14,IPA/Romanized for Cantonese 14,模擬的普通話句子 14,Simulated English translation 14,healthcare,voices/cantonese/000014.wav,"{""age"": 62, ""gender"": ""male"", ""region"": ""Singapore""}"
000015,Cantonese,Simulated Cantonese sentence 15,IPA/Romanized for Cantonese 15,模擬的普通話句子 15,Simulated English translation 15,healthcare,voices/cantonese/000015.wav,"{""age"": 64, ""gender"": ""male"", ""region"": ""Singapore""}"
000016,Cantonese,Simulated Cantonese sentence 16,IPA/Romanized for Cantonese 16,模擬的普通話句子 16,Simulated English translation 16,workplace,voices/cantonese/000016.wav,"{""age"": 63, ""gender"": ""female"", ""region"": ""Malaysia""}"
000017,Cantonese,Simulated Cantonese sentence 17,IPA/Romanized for Cantonese 17,模擬的普通話句子 17,Simulated English translation 17,food,voices/cantonese/000017.wav,"{""age"": 55, ""gender"": ""female"", ""region"": ""Malaysia""}"
000018,Cantonese,Simulated Cantonese sentence 18,IPA/Romanized for Cantonese 18,模擬的普通話句子 18,Simulated English translation 18,daily_conversation,voices/cantonese/000018.wav,"{""age"": 24, ""gender"": ""male"", ""region"": ""Malaysia""}"
000019,Cantonese,Simulated Cantonese sentence 19,IPA/Romanized for Cantonese 19,模擬的普通話句子 19,Simulated English translation 19,directions,voices/cantonese/000019.wav,"{""age"": 55, ""gender"": ""male"", ""region"": ""Singapore""}"
000020,Cantonese,Simulated Cantonese sentence 20,IPA/Romanized for Cantonese 20,模擬的普通話句子 20,Simulated English translation 20,workplace,voices/cantonese/000020.wav,"{""age"": 25, ""gender"": ""male"", ""region"": ""Malaysia""}"
000021,Cantonese,Simulated Cantonese sentence 21,IPA/Romanized for Cantonese 21,模擬的普通話句子 21,Simulated English translation 21,directions,voices/cantonese/000021.wav,"{""age"": 52, ""gender"": ""male"", ""region"": ""Malaysia""}"
000022,Cantonese,Simulated Cantonese sentence 22,IPA/Romanized for Cantonese 22,模擬的普通話句子 22,Simulated English translation 22,public_services,voices/cantonese/000022.wav,"{""age"": 21, ""gender"": ""male"", ""region"": ""Malaysia""}"
000023,Cantonese,Simulated Cantonese sentence 23,IPA/Romanized for Cantonese 23,模擬的普通話句子 23,Simulated English translation 23,workplace,voices/cantonese/000023.wav,"{""age"": 57, ""gender"": ""female"", ""region"": ""Singapore""}"
000024,Cantonese,Simulated Cantonese sentence 24,IPA/Romanized for Cantonese 24,模擬的普通話句子 24,Simulated English translation 24,healthcare,voices/cantonese/000024.wav,"{""age"": 29, ""gender"": ""female"", ""region"": ""Singapore""}"
000025,Cantonese,Simulated Cantonese sentence 25,IPA/Romanized for Cantonese 25,模擬的普通話句子 25,Simulated English translation 25,public_services,voices/cantonese/000025.wav,"{""age"": 65, ""gender"": ""male"", ""region"": ""Singapore""}"
000026,Cantonese,Simulated Cantonese sentence 26,IPA/Romanized for Cantonese 26,模擬的普通話句子 26,Simulated English translation 26,public_services,voices/cantonese/000026.wav,"{""age"": 35, ""gender"": ""male"", ""region"": ""Singapore""}"
000027,Cantonese,Simulated Cantonese sentence 27,IPA/Romanized for Cantonese 27,模擬的普通話句子 27,Simulated English translation 27,workplace,voices/cantonese/000027.wav,"{""age"": 40, ""gender"": ""female"", ""region"": ""Singapore""}"
000028,Cantonese,Simulated Cantonese sentence 28,IPA/Romanized for Cantonese 28,模擬的普通話句子 28,Simulated English translation 28,healthcare,voices/cantonese/000028.wav,"{""age"": 33, ""gender"": ""female"", ""region"": ""Singapore""}"
000029,Cantonese,Simulated Cantonese sentence 29,IPA/Romanized for Cantonese 29,模擬的普通話句子 29,Simulated English translation 29,public_services,voices/cantonese/000029.wav,"{""age"": 24, ""gender"": ""male"", ""region"": ""Singapore""}"
000030,Cantonese,Simulated Cantonese sentence 30,IPA/Romanized for Cantonese 30,模擬的普通話句子 30,Simulated English translation 30,public_services,voices/cantonese/000030.wav,"{""age"": 70, ""gender"": ""male"", ""region"": ""Malaysia""}"
000031,Cantonese,Simulated Cantonese sentence 31,IPA/Romanized for Cantonese 31,模擬的普通話句子 31,Simulated English translation 31,healthcare,voices/cantonese/000031.wav,"{""age"": 22, ""gender"": ""female"", ""region"": ""Singapore""}"
000032,Cantonese,Simulated Cantonese sentence 32,IPA/Romanized for Cantonese 32,模擬的普通話句子 32,Simulated English translation 32,food,voices/cantonese/000032.wav,"{""age"": 23, ""gender"": ""female"", ""region"": ""Malaysia""}"
000033,Cantonese,Simulated Cantonese sentence 33,IPA/Romanized for Cantonese 33,模擬的普通話句子 33,Simulated English translation 33,directions,voices/cantonese/000033.wav,"{""age"": 65, ""gender"": ""male"", ""region"": ""Singapore""}"
000034,Cantonese,Simulated Cantonese sentence 34,IPA/Romanized for Cantonese 34,模擬的普通話句子 34,Simulated English translation 34,daily_conversation,voices/cantonese/000034.wav,"{""age"": 46, ""gender"": ""female"", ""region"": ""Malaysia""}"
000035,Cantonese,Simulated Cantonese sentence 35,IPA/Romanized for Cantonese 35,模擬的普通話句子 35,Simulated English translation 35,public_services,voices/cantonese/000035.wav,"{""age"": 48, ""gender"": ""male"", ""region"": ""Singapore""}"
000036,Cantonese,Simulated Cantonese sentence 36,IPA/Romanized for Cantonese 36,模擬的普通話句子 36,Simulated English translation 36,healthcare,voices/cantonese/000036.wav,"{""age"": 54, ""gender"": ""male"", ""region"": ""Singapore""}"
000037,Cantonese,Simulated Cantonese sentence 37,IPA/Romanized for Cantonese 37,模擬的普通話句子 37,Simulated English translation 37,food,voices/cantonese/000037.wav,"{""age"": 23, ""gender"": ""female"", ""region"": ""Singapore""}"
000038,Cantonese,Simulated Cantonese sentence 38,IPA/Romanized for Cantonese 38,模擬的普通話句子 38,Simulated English translation 38,public_services,voices/cantonese/000038.wav,"{""age"": 70, ""gender"": ""male"", ""region"": ""Malaysia""}"
000039,Cantonese,Simulated Cantonese sentence 39,IPA/Romanized for Cantonese 39,模擬的普通話句子 39,Simulated English translation 39,daily_conversation,voices/cantonese/000039.wav,"{""age"": 57, ""gender"": ""female"", ""region"": ""Singapore""}"
000040,Cantonese,Simulated Cantonese sentence 40,IPA/Romanized for Cantonese 40,模擬的普通話句子 40,Simulated English translation 40,directions,voices/cantonese/000040.wav,"{""age"": 60, ""gender"": ""female"", ""region"": ""Singapore""}"
000041,Cantonese,Simulated Cantonese sentence 41,IPA/Romanized for Cantonese 41,模擬的普通話句子 41,Simulated English translation 41,healthcare,voices/cantonese/000041.wav,"{""age"": 41, ""gender"": ""female"", ""region"": ""Singapore""}"
000042,Cantonese,Simulated Cantonese sentence 42,IPA/Romanized for Cantonese 42,模擬的普通話句子 42,Simulated English translation 42,food,voices/cantonese/000042.wav,"{""age"": 24, ""gender"": ""male"", ""region"": ""Malaysia""}"
000043,Cantonese,Simulated Cantonese sentence 43,IPA/Romanized for Cantonese 43,模擬的普通話句子 43,Simulated English translation 43,directions,voices/cantonese/000043.wav,"{""age"": 61, ""gender"": ""female"", ""region"": ""Malaysia""}"
000044,Cantonese,Simulated Cantonese sentence 44,IPA/Romanized for Cantonese 44,模擬的普通話句子 44,Simulated English translation 44,food,voices/cantonese/000044.wav,"{""age"": 59, ""gender"": ""male"", ""region"": ""Singapore""}"
000045,Cantonese,Simulated Cantonese sentence 45,IPA/Romanized for Cantonese 45,模擬的普通話句子 45,Simulated English translation 45,workplace,voices/cantonese/000045.wav,"{""age"": 29, ""gender"": ""male"", ""region"": ""Malaysia""}"
000046,Cantonese,Simulated Cantonese sentence 46,IPA/Romanized for Cantonese 46,模擬的普通話句子 46,Simulated English translation 46,directions,voices/cantonese/000046.wav,"{""age"": 36, ""gender"": ""male"", ""region"": ""Malaysia""}"
000047,Cantonese,Simulated Cantonese sentence 47,IPA/Romanized for Cantonese 47,模擬的普通話句子 47,Simulated English translation 47,directions,voices/cantonese/000047.wav,"{""age"": 31, ""gender"": ""male"", ""region"": ""Singapore""}"
000048,Cantonese,Simulated Cantonese sentence 48,IPA/Romanized for Cantonese 48,模擬的普通話句子 48,Simulated English translation 48,public_services,voices/cantonese/000048.wav,"{""age"": 62, ""gender"": ""female"", ""region"": ""Malaysia""}"
000049,Cantonese,Simulated Cantonese sentence 49,IPA/Romanized for Cantonese 49,模擬的普通話句子 49,Simulated English translation 49,healthcare,voices/cantonese/000049.wav,"{""age"": 23, ""gender"": ""male"", ""region"": ""Malaysia""}"
000050,Cantonese,Simulated Cantonese sentence 50,IPA/Romanized for Cantonese 50,模擬的普通話句子 50,Simulated English translation 50,daily_conversation,voices/cantonese/000050.wav,"{""age"": 32, ""gender"": ""female"", ""region"": ""Singapore""}"
000051,Teochew,Simulated Teochew sentence 1,IPA/Romanized for Teochew 1,模擬的普通話句子 1,Simulated English translation 1,healthcare,voices/teochew/000051.wav,"{""age"": 50, ""gender"": ""female"", ""region"": ""Singapore""}"
000052,Teochew,Simulated Teochew sentence 2,IPA/Romanized for Teochew 2,模擬的普通話句子 2,Simulated English translation 2,healthcare,voices/teochew/000052.wav,"{""age"": 61, ""gender"": ""male"", ""region"": ""Malaysia""}"
000053,Teochew,Simulated Teochew sentence 3,IPA/Romanized for Teochew 3,模擬的普通話句子 3,Simulated English translation 3,food,voices/teochew/000053.wav,"{""age"": 55, ""gender"": ""male"", ""region"": ""Malaysia""}"
000054,Teochew,Simulated Teochew sentence 4,IPA/Romanized for Teochew 4,模擬的普通話句子 4,Simulated English translation 4,food,voices/teochew/000054.wav,"{""age"": 69, ""gender"": ""female"", ""region"": ""Malaysia""}"
000055,Teochew,Simulated Teochew sentence 5,IPA/Romanized for Teochew 5,模擬的普通話句子 5,Simulated English translation 5,workplace,voices/teochew/000055.wav,"{""age"": 50, ""gender"": ""male"", ""region"": ""Malaysia""}"
000056,Teochew,Simulated Teochew sentence 6,IPA/Romanized for Teochew 6,模擬的普通話句子 6,Simulated English translation 6,food,voices/teochew/000056.wav,"{""age"": 34, ""gender"": ""female"", ""region"": ""Malaysia""}"
000057,Teochew,Simulated Teochew sentence 7,IPA/Romanized for Teochew 7,模擬的普通話句子 7,Simulated English translation 7,public_services,voices/teochew/000057.wav,"{""age"": 65, ""gender"": ""female"", ""region"": ""Singapore""}"
000058,Teochew,Simulated Teochew sentence 8,IPA/Romanized for Teochew 8,模擬的普通話句子 8,Simulated English translation 8,public_services,voices/teochew/000058.wav,"{""age"": 62, ""gender"": ""male"", ""region"": ""Malaysia""}"
000059,Teochew,Simulated Teochew sentence 9,IPA/Romanized for Teochew 9,模擬的普通話句子 9,Simulated English translation 9,directions,voices/teochew/000059.wav,"{""age"": 57, ""gender"": ""male"", ""region"": ""Singapore""}"
000060,Teochew,Simulated Teochew sentence 10,IPA/Romanized for Teochew 10,模擬的普通話句子 10,Simulated English translation 10,healthcare,voices/teochew/000060.wav,"{""age"": 64, ""gender"": ""female"", ""region"": ""Malaysia""}"
000061,Teochew,Simulated Teochew sentence 11,IPA/Romanized for Teochew 11,模擬的普通話句子 11,Simulated English translation 11,directions,voices/teochew/000061.wav,"{""age"": 41, ""gender"": ""male"", ""region"": ""Singapore""}"
000062,Teochew,Simulated Teochew sentence 12,IPA/Romanized for Teochew 12,模擬的普通話句子 12,Simulated English translation 12,food,voices/teochew/000062.wav,"{""age"": 56, ""gender"": ""male"", ""region"": ""Malaysia""}"
000063,Teochew,Simulated Teochew sentence 13,IPA/Romanized for Teochew 13,模擬的普通話句子 13,Simulated English translation 13,food,voices/teochew/000063.wav,"{""age"": 18, ""gender"": ""female"", ""region"": ""Singapore""}"
000064,Teochew,Simulated Teochew sentence 14,IPA/Romanized for Teochew 14,模擬的普通話句子 14,Simulated English translation 14,healthcare,voices/teochew/000064.wav,"{""age"": 35, ""gender"": ""male"", ""region"": ""Malaysia""}"
000065,Teochew,Simulated Teochew sentence 15,IPA/Romanized for Teochew 15,模擬的普通話句子 15,Simulated English translation 15,daily_conversation,voices/teochew/000065.wav,"{""age"": 36, ""gender"": ""male"", ""region"": ""Malaysia""}"
000066,Teochew,Simulated Teochew sentence 16,IPA/Romanized for Teochew 16,模擬的普通話句子 16,Simulated English translation 16,food,voices/teochew/000066.wav,"{""age"": 70, ""gender"": ""male"", ""region"": ""Singapore""}"
000067,Teochew,Simulated Teochew sentence 17,IPA/Romanized for Teochew 17,模擬的普通話句子 17,Simulated English translation 17,food,voices/teochew/000067.wav,"{""age"": 68, ""gender"": ""female"", ""region"": ""Malaysia""}"
000068,Teochew,Simulated Teochew sentence 18,IPA/Romanized for Teochew 18,模擬的普通話句子 18,Simulated English translation 18,healthcare,voices/teochew/000068.wav,"{""age"": 51, ""gender"": ""male"", ""region"": ""Singapore""}"
000069,Teochew,Simulated Teochew sentence 19,IPA/Romanized for Teochew 19,模擬的普通話句子 19,Simulated English translation 19,public_services,voices/teochew/000069.wav,"{""age"": 61, ""gender"": ""female"", ""region"": ""Malaysia""}"
000070,Teochew,Simulated Teochew sentence 20,IPA/Romanized for Teochew 20,模擬的普通話句子 20,Simulated English translation 20,workplace,voices/teochew/000070.wav,"{""age"": 53, ""gender"": ""male"", ""region"": ""Malaysia""}"
000071,Teochew,Simulated Teochew sentence 21,IPA/Romanized for Teochew 21,模擬的普通話句子 21,Simulated English translation 21,food,voices/teochew/000071.wav,"{""age"": 68, ""gender"": ""female"", ""region"": ""Singapore""}"
000072,Teochew,Simulated Teochew sentence 22,IPA/Romanized for Teochew 22,模擬的普通話句子 22,Simulated English translation 22,daily_conversation,voices/teochew/000072.wav,"{""age"": 32, ""gender"": ""male"", ""region"": ""Malaysia""}"
000073,Teochew,Simulated Teochew sentence 23,IPA/Romanized for Teochew 23,模擬的普通話句子 23,Simulated English translation 23,public_services,voices/teochew/000073.wav,"{""age"": 27, ""gender"": ""male"", ""region"": ""Malaysia""}"
000074,Teochew,Simulated Teochew sentence 24,IPA/Romanized for Teochew 24,模擬的普通話句子 24,Simulated English translation 24,public_services,voices/teochew/000074.wav,"{""age"": 33, ""gender"": ""male"", ""region"": ""Singapore""}"
000075,Teochew,Simulated Teochew sentence 25,IPA/Romanized for Teochew 25,模擬的普通話句子 25,Simulated English translation 25,food,voices/teochew/000075.wav,"{""age"": 44, ""gender"": ""female"", ""region"": ""Malaysia""}"
000076,Teochew,Simulated Teochew sentence 26,IPA/Romanized for Teochew 26,模擬的普通話句子 26,Simulated English translation 26,workplace,voices/teochew/000076.wav,"{""age"": 25, ""gender"": ""female"", ""region"": ""Singapore""}"
000077,Teochew,Simulated Teochew sentence 27,IPA/Romanized for Teochew 27,模擬的普通話句子 27,Simulated English translation 27,food,voices/teochew/000077.wav,"{""age"": 35, ""gender"": ""male"", ""region"": ""Singapore""}"
000078,Teochew,Simulated Teochew sentence 28,IPA/Romanized for Teochew 28,模擬的普通話句子 28,Simulated English translation 28,public_services,voices/teochew/000078.wav,"{""age"": 68, ""gender"": ""female"", ""region"": ""Malaysia""}"
000079,Teochew,Simulated Teochew sentence 29,IPA/Romanized for Teochew 29,模擬的普通話句子 29,Simulated English translation 29,workplace,voices/teochew/000079.wav,"{""age"": 61, ""gender"": ""female"", ""region"": ""Singapore""}"
000080,Teochew,Simulated Teochew sentence 30,IPA/Romanized for Teochew 30,模擬的普通話句子 30,Simulated English translation 30,healthcare,voices/teochew/000080.wav,"{""age"": 61, ""gender"": ""male"", ""region"": ""Malaysia""}"
000081,Teochew,Simulated Teochew sentence 31,IPA/Romanized for Teochew 31,模擬的普通話句子 31,Simulated English translation 31,daily_conversation,voices/teochew/000081.wav,"{""age"": 61, ""gender"": ""female"", ""region"": ""Singapore""}"
000082,Teochew,Simulated Teochew sentence 32,IPA/Romanized for Teochew 32,模擬的普通話句子 32,Simulated English translation 32,public_services,voices/teochew/000082.wav,"{""age"": 69, ""gender"": ""female"", ""region"": ""Malaysia""}"
000083,Teochew,Simulated Teochew sentence 33,IPA/Romanized for Teochew 33,模擬的普通話句子 33,Simulated English translation 33,workplace,voices/teochew/000083.wav,"{""age"": 60, ""gender"": ""male"", ""region"": ""Singapore""}"
000084,Teochew,Simulated Teochew sentence 34,IPA/Romanized for Teochew 34,模擬的普通話句子 34,Simulated English translation 34,healthcare,voices/teochew/000084.wav,"{""age"": 31, ""gender"": ""female"", ""region"": ""Malaysia""}"
000085,Teochew,Simulated Teochew sentence 35,IPA/Romanized for Teochew 35,模擬的普通話句子 35,Simulated English translation 35,workplace,voices/teochew/000085.wav,"{""age"": 53, ""gender"": ""male"", ""region"": ""Malaysia""}"
000086,Teochew,Simulated Teochew sentence 36,IPA/Romanized for Teochew 36,模擬的普通話句子 36,Simulated English translation 36,public_services,voices/teochew/000086.wav,"{""age"": 30, ""gender"": ""female"", ""region"": ""Malaysia""}"
000087,Teochew,Simulated Teochew sentence 37,IPA/Romanized for Teochew 37,模擬的普通話句子 37,Simulated English translation 37,public_services,voices/teochew/000087.wav,"{""age"": 28, ""gender"": ""female"", ""region"": ""Singapore""}"
000088,Teochew,Simulated Teochew sentence 38,IPA/Romanized for Teochew 38,模擬的普通話句子 38,Simulated English translation 38,daily_conversation,voices/teochew/000088.wav,"{""age"": 44, ""gender"": ""male"", ""region"": ""Malaysia""}"
000089,Teochew,Simulated Teochew sentence 39,IPA/Romanized for Teochew 39,模擬的普通話句子 39,Simulated English translation 39,workplace,voices/teochew/000089.wav,"{""age"": 65, ""gender"": ""male"", ""region"": ""Malaysia""}"
000090,Teochew,Simulated Teochew sentence 40,IPA/Romanized for Teochew 40,模擬的普通話句子 40,Simulated English translation 40,food,voices/teochew/000090.wav,"{""age"": 44, ""gender"": ""female"", ""region"": ""Singapore""}"
000091,Teochew,Simulated Teochew sentence 41,IPA/Romanized for Teochew 41,模擬的普通話句子 41,Simulated English translation 41,directions,voices/teochew/000091.wav,"{""age"": 49, ""gender"": ""female"", ""region"": ""Singapore""}"
000092,Teochew,Simulated Teochew sentence 42,IPA/Romanized for Teochew 42,模擬的普通話句子 42,Simulated English translation 42,daily_conversation,voices/teochew/000092.wav,"{""age"": 33, ""gender"": ""male"", ""region"": ""Malaysia""}"
000093,Teochew,Simulated Teochew sentence 43,IPA/Romanized for Teochew 43,模擬的普通話句子 43,Simulated English translation 43,healthcare,voices/teochew/000093.wav,"{""age"": 61, ""gender"": ""male"", ""region"": ""Malaysia""}"
000094,Teochew,Simulated Teochew sentence 44,IPA/Romanized for Teochew 44,模擬的普通話句子 44,Simulated English translation 44,healthcare,voices/teochew/000094.wav,"{""age"": 45, ""gender"": ""female"", ""region"": ""Singapore""}"
000095,Teochew,Simulated Teochew sentence 45,IPA/Romanized for Teochew 45,模擬的普通話句子 45,Simulated English translation 45,public_services,voices/teochew/000095.wav,"{""age"": 64, ""gender"": ""female"", ""region"": ""Singapore""}"
000096,Teochew,Simulated Teochew sentence 46,IPA/Romanized for Teochew 46,模擬的普通話句子 46,Simulated English translation 46,public_services,voices/teochew/000096.wav,"{""age"": 44, ""gender"": ""male"", ""region"": ""Malaysia""}"
000097,Teochew,Simulated Teochew sentence 47,IPA/Romanized for Teochew 47,模擬的普通話句子 47,Simulated English translation 47,public_services,voices/teochew/000097.wav,"{""age"": 42, ""gender"": ""male"", ""region"": ""Malaysia""}"
000098,Teochew,Simulated Teochew sentence 48,IPA/Romanized for Teochew 48,模擬的普通話句子 48,Simulated English translation 48,public_services,voices/teochew/000098.wav,"{""age"": 32, ""gender"": ""male"", ""region"": ""Singapore""}"
