id,dialect,dialect_text,dialect_phonetic,mandarin_text,english_translation,domain_context,audio_file_path,speaker_metadata
000099,Teochew,Simulated Teochew sentence 49,IPA/Romanized for Teochew 49,模擬的普通話句子 49,Simulated English translation 49,daily_conversation,voices/teochew/000099.wav,"{""age"": 40, ""gender"": ""male"", ""region"": ""Malaysia""}"
000100,Teochew,Simulated Teochew sentence 50,IPA/Romanized for Teochew 50,模擬的普通話句子 50,Simulated English translation 50,daily_conversation,voices/teochew/000100.wav,"{""age"": 27, ""gender"": ""female"", ""region"": ""Malaysia""}"
000101,Hokkien,Simulated Hokkien sentence 1,IPA/Romanized for Hokkien 1,模擬的普通話句子 1,Simulated English translation 1,workplace,voices/hokkien/000101.wav,"{""age"": 22, ""gender"": ""male"", ""region"": ""Singapore""}"
000102,Hokkien,Simulated Hokkien sentence 2,IPA/Romanized for Hokkien 2,模擬的普通話句子 2,Simulated English translation 2,food,voices/hokkien/000102.wav,"{""age"": 50, ""gender"": ""female"", ""region"": ""Singapore""}"
000103,Hokkien,Simulated Hokkien sentence 3,IPA/Romanized for Hokkien 3,模擬的普通話句子 3,Simulated English translation 3,workplace,voices/hokkien/000103.wav,"{""age"": 44, ""gender"": ""female"", ""region"": ""Singapore""}"
000104,Hokkien,Simulated Hokkien sentence 4,IPA/Romanized for Hokkien 4,模擬的普通話句子 4,Simulated English translation 4,daily_conversation,voices/hokkien/000104.wav,"{""age"": 69, ""gender"": ""female"", ""region"": ""Malaysia""}"
000105,Hokkien,Simulated Hokkien sentence 5,IPA/Romanized for Hokkien 5,模擬的普通話句子 5,Simulated English translation 5,public_services,voices/hokkien/000105.wav,"{""age"": 46, ""gender"": ""male"", ""region"": ""Singapore""}"
000106,Hokkien,Simulated Hokkien sentence 6,IPA/Romanized for Hokkien 6,模擬的普通話句子 6,Simulated English translation 6,daily_conversation,voices/hokkien/000106.wav,"{""age"": 62, ""gender"": ""female"", ""region"": ""Malaysia""}"
000107,Hokkien,Simulated Hokkien sentence 7,IPA/Romanized for Hokkien 7,模擬的普通話句子 7,Simulated English translation 7,daily_conversation,voices/hokkien/000107.wav,"{""age"": 49, ""gender"": ""female"", ""region"": ""Singapore""}"
000108,Hokkien,Simulated Hokkien sentence 8,IPA/Romanized for Hokkien 8,模擬的普通話句子 8,Simulated English translation 8,daily_conversation,voices/hokkien/000108.wav,"{""age"": 36, ""gender"": ""male"", ""region"": ""Malaysia""}"
000109,Hokkien,Simulated Hokkien sentence 9,IPA/Romanized for Hokkien 9,模擬的普通話句子 9,Simulated English translation 9,public_services,voices/hokkien/000109.wav,"{""age"": 48, ""gender"": ""female"", ""region"": ""Malaysia""}"
000110,Hokkien,Simulated Hokkien sentence 10,IPA/Romanized for Hokkien 10,模擬的普通話句子 10,Simulated English translation 10,directions,voices/hokkien/000110.wav,"{""age"": 33, ""gender"": ""male"", ""region"": ""Singapore""}"
000111,Hokkien,Simulated Hokkien sentence 11,IPA/Romanized for Hokkien 11,模擬的普通話句子 11,Simulated English translation 11,public_services,voices/hokkien/000111.wav,"{""age"": 53, ""gender"": ""female"", ""region"": ""Singapore""}"
000112,Hokkien,Simulated Hokkien sentence 12,IPA/Romanized for Hokkien 12,模擬的普通話句子 12,Simulated English translation 12,workplace,voices/hokkien/000112.wav,"{""age"": 27, ""gender"": ""female"", ""region"": ""Singapore""}"
000113,Hokkien,Simulated Hokkien sentence 13,IPA/Romanized for Hokkien 13,模擬的普通話句子 13,Simulated English translation 13,daily_conversation,voices/hokkien/000113.wav,"{""age"": 43, ""gender"": ""male"", ""region"": ""Malaysia""}"
000114,Hokkien,Simulated Hokkien sentence 14,IPA/Romanized for Hokkien 14,模擬的普通話句子 14,Simulated English translation 14,public_services,voices/hokkien/000114.wav,"{""age"": 65, ""gender"": ""male"", ""region"": ""Singapore""}"
000115,Hokkien,Simulated Hokkien sentence 15,IPA/Romanized for Hokkien 15,模擬的普通話句子 15,Simulated English translation 15,healthcare,voices/hokkien/000115.wav,"{""age"": 24, ""gender"": ""female"", ""region"": ""Singapore""}"
000116,Hokkien,Simulated Hokkien sentence 16,IPA/Romanized for Hokkien 16,模擬的普通話句子 16,Simulated English translation 16,public_services,voices/hokkien/000116.wav,"{""age"": 59, ""gender"": ""male"", ""region"": ""Malaysia""}"
000117,Hokkien,Simulated Hokkien sentence 17,IPA/Romanized for Hokkien 17,模擬的普通話句子 17,Simulated English translation 17,daily_conversation,voices/hokkien/000117.wav,"{""age"": 33, ""gender"": ""male"", ""region"": ""Singapore""}"
000118,Hokkien,Simulated Hokkien sentence 18,IPA/Romanized for Hokkien 18,模擬的普通話句子 18,Simulated English translation 18,directions,voices/hokkien/000118.wav,"{""age"": 31, ""gender"": ""male"", ""region"": ""Singapore""}"
000119,Hokkien,Simulated Hokkien sentence 19,IPA/Romanized for Hokkien 19,模擬的普通話句子 19,Simulated English translation 19,workplace,voices/hokkien/000119.wav,"{""age"": 50, ""gender"": ""female"", ""region"": ""Malaysia""}"
000120,Hokkien,Simulated Hokkien sentence 20,IPA/Romanized for Hokkien 20,模擬的普通話句子 20,Simulated English translation 20,food,voices/hokkien/000120.wav,"{""age"": 20, ""gender"": ""male"", ""region"": ""Malaysia""}"
000121,Hokkien,Simulated Hokkien sentence 21,IPA/Romanized for Hokkien 21,模擬的普通話句子 21,Simulated English translation 21,daily_conversation,voices/hokkien/000121.wav,"{""age"": 29, ""gender"": ""female"", ""region"": ""Singapore""}"
000122,Hokkien,Simulated Hokkien sentence 22,IPA/Romanized for Hokkien 22,模擬的普通話句子 22,Simulated English translation 22,food,voices/hokkien/000122.wav,"{""age"": 47, ""gender"": ""female"", ""region"": ""Malaysia""}"
000123,Hokkien,Simulated Hokkien sentence 23,IPA/Romanized for Hokkien 23,模擬的普通話句子 23,Simulated English translation 23,healthcare,voices/hokkien/000123.wav,"{""age"": 69, ""gender"": ""male"", ""region"": ""Singapore""}"
000124,Hokkien,Simulated Hokkien sentence 24,IPA/Romanized for Hokkien 24,模擬的普通話句子 24,Simulated English translation 24,daily_conversation,voices/hokkien/000124.wav,"{""age"": 69, ""gender"": ""female"", ""region"": ""Malaysia""}"
000125,Hokkien,Simulated Hokkien sentence 25,IPA/Romanized for Hokkien 25,模擬的普通話句子 25,Simulated English translation 25,daily_conversation,voices/hokkien/000125.wav,"{""age"": 18, ""gender"": ""female"", ""region"": ""Singapore""}"
000126,Hokkien,Simulated Hokkien sentence 26,IPA/Romanized for Hokkien 26,模擬的普通話句子 26,Simulated English translation 26,directions,voices/hokkien/000126.wav,"{""age"": 50, ""gender"": ""male"", ""region"": ""Malaysia""}"
000127,Hokkien,Simulated Hokkien sentence 27,IPA/Romanized for Hokkien 27,模擬的普通話句子 27,Simulated English translation 27,workplace,voices/hokkien/000127.wav,"{""age"": 64, ""gender"": ""male"", ""region"": ""Malaysia""}"
000128,Hokkien,Simulated Hokkien sentence 28,IPA/Romanized for Hokkien 28,模擬的普通話句子 28,Simulated English translation 28,healthcare,voices/hokkien/000128.wav,"{""age"": 52, ""gender"": ""female"", ""region"": ""Singapore""}"
000129,Hokkien,Simulated Hokkien sentence 29,IPA/Romanized for Hokkien 29,模擬的普通話句子 29,Simulated English translation 29,workplace,voices/hokkien/000129.wav,"{""age"": 21, ""gender"": ""male"", ""region"": ""Singapore""}"
000130,Hokkien,Simulated Hokkien sentence 30,IPA/Romanized for Hokkien 30,模擬的普通話句子 30,Simulated English translation 30,healthcare,voices/hokkien/000130.wav,"{""age"": 69, ""gender"": ""female"", ""region"": ""Malaysia""}"
000131,Hokkien,Simulated Hokkien sentence 31,IPA/Romanized for Hokkien 31,模擬的普通話句子 31,Simulated English translation 31,food,voices/hokkien/000131.wav,"{""age"": 64, ""gender"": ""male"", ""region"": ""Malaysia""}"
000132,Hokkien,Simulated Hokkien sentence 32,IPA/Romanized for Hokkien 32,模擬的普通話句子 32,Simulated English translation 32,directions,voices/hokkien/000132.wav,"{""age"": 65, ""gender"": ""female"", ""region"": ""Malaysia""}"
000133,Hokkien,Simulated Hokkien sentence 33,IPA/Romanized for Hokkien 33,模擬的普通話句子 33,Simulated English translation 33,public_services,voices/hokkien/000133.wav,"{""age"": 20, ""gender"": ""male"", ""region"": ""Singapore""}"
000134,Hokkien,Simulated Hokkien sentence 34,IPA/Romanized for Hokkien 34,模擬的普通話句子 34,Simulated English translation 34,workplace,voices/hokkien/000134.wav,"{""age"": 68, ""gender"": ""male"", ""region"": ""Malaysia""}"
000135,Hokkien,Simulated Hokkien sentence 35,IPA/Romanized for Hokkien 35,模擬的普通話句子 35,Simulated English translation 35,directions,voices/hokkien/000135.wav,"{""age"": 44, ""gender"": ""male"", ""region"": ""Malaysia""}"
000136,Hokkien,Simulated Hokkien sentence 36,IPA/Romanized for Hokkien 36,模擬的普通話句子 36,Simulated English translation 36,public_services,voices/hokkien/000136.wav,"{""age"": 41, ""gender"": ""female"", ""region"": ""Singapore""}"
000137,Hokkien,Simulated Hokkien sentence 37,IPA/Romanized for Hokkien 37,模擬的普通話句子 37,Simulated English translation 37,public_services,voices/hokkien/000137.wav,"{""age"": 48, ""gender"": ""male"", ""region"": ""Singapore""}"
000138,Hokkien,Simulated Hokkien sentence 38,IPA/Romanized for Hokkien 38,模擬的普通話句子 38,Simulated English translation 38,healthcare,voices/hokkien/000138.wav,"{""age"": 44, ""gender"": ""male"", ""region"": ""Malaysia""}"
000139,Hokkien,Simulated Hokkien sentence 39,IPA/Romanized for Hokkien 39,模擬的普通話句子 39,Simulated English translation 39,workplace,voices/hokkien/000139.wav,"{""age"": 51, ""gender"": ""female"", ""region"": ""Malaysia""}"
000140,Hokkien,Simulated Hokkien sentence 40,IPA/Romanized for Hokkien 40,模擬的普通話句子 40,Simulated English translation 40,daily_conversation,voices/hokkien/000140.wav,"{""age"": 24, ""gender"": ""male"", ""region"": ""Malaysia""}"
000141,Hokkien,Simulated Hokkien sentence 41,IPA/Romanized for Hokkien 41,模擬的普通話句子 41,Simulated English translation 41,directions,voices/hokkien/000141.wav,"{""age"": 67, ""gender"": ""female"", ""region"": ""Singapore""}"
000142,Hokkien,Simulated Hokkien sentence 42,IPA/Romanized for Hokkien 42,模擬的普通話句子 42,Simulated English translation 42,public_services,voices/hokkien/000142.wav,"{""age"": 19, ""gender"": ""male"", ""region"": ""Singapore""}"
000143,Hokkien,Simulated Hokkien sentence 43,IPA/Romanized for Hokkien 43,模擬的普通話句子 43,Simulated English translation 43,workplace,voices/hokkien/000143.wav,"{""age"": 20, ""gender"": ""female"", ""region"": ""Malaysia""}"
000144,Hokkien,Simulated Hokkien sentence 44,IPA/Romanized for Hokkien 44,模擬的普通話句子 44,Simulated English translation 44,food,voices/hokkien/000144.wav,"{""age"": 34, ""gender"": ""male"", ""region"": ""Malaysia""}"
000145,Hokkien,Simulated Hokkien sentence 45,IPA/Romanized for Hokkien 45,模擬的普通話句子 45,Simulated English translation 45,food,voices/hokkien/000145.wav,"{""age"": 49, ""gender"": ""female"", ""region"": ""Singapore""}"
000146,Hokkien,Simulated Hokkien sentence 46,IPA/Romanized for Hokkien 46,模擬的普通話句子 46,Simulated English translation 46,public_services,voices/hokkien/000146.wav,"{""age"": 39, ""gender"": ""female"", ""region"": ""Malaysia""}"
000147,Hokkien,Simulated Hokkien sentence 47,IPA/Romanized for Hokkien 47,模擬的普通話句子 47,Simulated English translation 47,directions,voices/hokkien/000147.wav,"{""age"": 37, ""gender"": ""male"", ""region"": ""Malaysia""}"
000148,Hokkien,Simulated Hokkien sentence 48,IPA/Romanized for Hokkien 48,模擬的普通話句子 48,Simulated English translation 48,public_services,voices/hokkien/000148.wav,"{""age"": 56, ""gender"": ""male"", ""region"": ""Malaysia""}"
000149,Hokkien,Simulated Hokkien sentence 49,IPA/Romanized for Hokkien 49,模擬的普通話句子 49,Simulated English translation 49,daily_conversation,voices/hokkien/000149.wav,"{""age"": 50, ""gender"": ""male"", ""region"": ""Malaysia""}"
000150,Hokkien,Simulated Hokkien sentence 50,IPA/Romanized for Hokkien 50,模擬的普通話句子 50,Simulated English translation 50,healthcare,voices/hokkien/000150.wav,"{""age"": 26, ""gender"": ""female"", ""region"": ""Singapore""}"
000151,Hakka,Simulated Hakka sentence 1,IPA/Romanized for Hakka 1,模擬的普通話句子 1,Simulated English translation 1,healthcare,voices/hakka/000151.wav,"{""age"": 21, ""gender"": ""male"", ""region"": ""Singapore""}"
000152,Hakka,Simulated Hakka sentence 2,IPA/Romanized for Hakka 2,模擬的普通話句子 2,Simulated English translation 2,food,voices/hakka/000152.wav,"{""age"": 26, ""gender"": ""female"", ""region"": ""Malaysia""}"
000153,Hakka,Simulated Hakka sentence 3,IPA/Romanized for Hakka 3,模擬的普通話句子 3,Simulated English translation 3,workplace,voices/hakka/000153.wav,"{""age"": 36, ""gender"": ""male"", ""region"": ""Singapore""}"
000154,Hakka,Simulated Hakka sentence 4,IPA/Romanized for Hakka 4,模擬的普通話句子 4,Simulated English translation 4,directions,voices/hakka/000154.wav,"{""age"": 30, ""gender"": ""female"", ""region"": ""Singapore""}"
000155,Hakka,Simulated Hakka sentence 5,IPA/Romanized for Hakka 5,模擬的普通話句子 5,Simulated English translation 5,workplace,voices/hakka/000155.wav,"{""age"": 18, ""gender"": ""female"", ""region"": ""Singapore""}"
000156,Hakka,Simulated Hakka sentence 6,IPA/Romanized for Hakka 6,模擬的普通話句子 6,Simulated English translation 6,food,voices/hakka/000156.wav,"{""age"": 56, ""gender"": ""female"", ""region"": ""Singapore""}"
000157,Hakka,Simulated Hakka sentence 7,IPA/Romanized for Hakka 7,模擬的普通話句子 7,Simulated English translation 7,daily_conversation,voices/hakka/000157.wav,"{""age"": 40, ""gender"": ""male"", ""region"": ""Malaysia""}"
000158,Hakka,Simulated Hakka sentence 8,IPA/Romanized for Hakka 8,模擬的普通話句子 8,Simulated English translation 8,healthcare,voices/hakka/000158.wav,"{""age"": 34, ""gender"": ""female"", ""region"": ""Singapore""}"
000159,Hakka,Simulated Hakka sentence 9,IPA/Romanized for Hakka 9,模擬的普通話句子 9,Simulated English translation 9,food,voices/hakka/000159.wav,"{""age"": 48, ""gender"": ""male"", ""region"": ""Singapore""}"
000160,Hakka,Simulated Hakka sentence 10,IPA/Romanized for Hakka 10,模擬的普通話句子 10,Simulated English translation 10,food,voices/hakka/000160.wav,"{""age"": 18, ""gender"": ""female"", ""region"": ""Malaysia""}"
000161,Hakka,Simulated Hakka sentence 11,IPA/Romanized for Hakka 11,模擬的普通話句子 11,Simulated English translation 11,public_services,voices/hakka/000161.wav,"{""age"": 25, ""gender"": ""female"", ""region"": ""Malaysia""}"
000162,Hakka,Simulated Hakka sentence 12,IPA/Romanized for Hakka 12,模擬的普通話句子 12,Simulated English translation 12,healthcare,voices/hakka/000162.wav,"{""age"": 19, ""gender"": ""male"", ""region"": ""Singapore""}"
000163,Hakka,Simulated Hakka sentence 13,IPA/Romanized for Hakka 13,模擬的普通話句子 13,Simulated English translation 13,workplace,voices/hakka/000163.wav,"{""age"": 45, ""gender"": ""female"", ""region"": ""Singapore""}"
000164,Hakka,Simulated Hakka sentence 14,IPA/Romanized for Hakka 14,模擬的普通話句子 14,Simulated English translation 14,directions,voices/hakka/000164.wav,"{""age"": 23, ""gender"": ""male"", ""region"": ""Singapore""}"
000165,Hakka,Simulated Hakka sentence 15,IPA/Romanized for Hakka 15,模擬的普通話句子 15,Simulated English translation 15,daily_conversation,voices/hakka/000165.wav,"{""age"": 64, ""gender"": ""male"", ""region"": ""Malaysia""}"
000166,Hakka,Simulated Hakka sentence 16,IPA/Romanized for Hakka 16,模擬的普通話句子 16,Simulated English translation 16,directions,voices/hakka/000166.wav,"{""age"": 70, ""gender"": ""male"", ""region"": ""Malaysia""}"
000167,Hakka,Simulated Hakka sentence 17,IPA/Romanized for Hakka 17,模擬的普通話句子 17,Simulated English translation 17,public_services,voices/hakka/000167.wav,"{""age"": 56, ""gender"": ""female"", ""region"": ""Singapore""}"
000168,Hakka,Simulated Hakka sentence 18,IPA/Romanized for Hakka 18,模擬的普通話句子 18,Simulated English translation 18,food,voices/hakka/000168.wav,"{""age"": 18, ""gender"": ""female"", ""region"": ""Singapore""}"
000169,Hakka,Simulated Hakka sentence 19,IPA/Romanized for Hakka 19,模擬的普通話句子 19,Simulated English translation 19,food,voices/hakka/000169.wav,"{""age"": 23, ""gender"": ""female"", ""region"": ""Malaysia""}"
000170,Hakka,Simulated Hakka sentence 20,IPA/Romanized for Hakka 20,模擬的普通話句子 20,Simulated English translation 20,workplace,voices/hakka/000170.wav,"{""age"": 65, ""gender"": ""male"", ""region"": ""Singapore""}"
000171,Hakka,Simulated Hakka sentence 21,IPA/Romanized for Hakka 21,模擬的普通話句子 21,Simulated English translation 21,healthcare,voices/hakka/000171.wav,"{""age"": 68, ""gender"": ""female"", ""region"": ""Malaysia""}"
000172,Hakka,Simulated Hakka sentence 22,IPA/Romanized for Hakka 22,模擬的普通話句子 22,Simulated English translation 22,food,voices/hakka/000172.wav,"{""age"": 33, ""gender"": ""male"", ""region"": ""Malaysia""}"
000173,Hakka,Simulated Hakka sentence 23,IPA/Romanized for Hakka 23,模擬的普通話句子 23,Simulated English translation 23,daily_conversation,voices/hakka/000173.wav,"{""age"": 44, ""gender"": ""male"", ""region"": ""Malaysia""}"
000174,Hakka,Simulated Hakka sentence 24,IPA/Romanized for Hakka 24,模擬的普通話句子 24,Simulated English translation 24,daily_conversation,voices/hakka/000174.wav,"{""age"": 60, ""gender"": ""male"", ""region"": ""Malaysia""}"
000175,Hakka,Simulated Hakka sentence 25,IPA/Romanized for Hakka 25,模擬的普通話句子 25,Simulated English translation 25,public_services,voices/hakka/000175.wav,"{""age"": 31, ""gender"": ""female"", ""region"": ""Malaysia""}"
000176,Hakka,Simulated Hakka sentence 26,IPA/Romanized for Hakka 26,模擬的普通話句子 26,Simulated English translation 26,workplace,voices/hakka/000176.wav,"{""age"": 46, ""gender"": ""female"", ""region"": ""Singapore""}"
000177,Hakka,Simulated Hakka sentence 27,IPA/Romanized for Hakka 27,模擬的普通話句子 27,Simulated English translation 27,food,voices/hakka/000177.wav,"{""age"": 41, ""gender"": ""male"", ""region"": ""Singapore""}"
000178,Hakka,Simulated Hakka sentence 28,IPA/Romanized for Hakka 28,模擬的普通話句子 28,Simulated English translation 28,public_services,voices/hakka/000178.wav,"{""age"": 58, ""gender"": ""female"", ""region"": ""Singapore""}"
000179,Hakka,Simulated Hakka sentence 29,IPA/Romanized for Hakka 29,模擬的普通話句子 29,Simulated English translation 29,public_services,voices/hakka/000179.wav,"{""age"": 59, ""gender"": ""female"", ""region"": ""Singapore""}"
000180,Hakka,Simulated Hakka sentence 30,IPA/Romanized for Hakka 30,模擬的普通話句子 30,Simulated English translation 30,food,voices/hakka/000180.wav,"{""age"": 60, ""gender"": ""male"", ""region"": ""Malaysia""}"
000181,Hakka,Simulated Hakka sentence 31,IPA/Romanized for Hakka 31,模擬的普通話句子 31,Simulated English translation 31,food,voices/hakka/000181.wav,"{""age"": 41, ""gender"": ""female"", ""region"": ""Singapore""}"
000182,Hakka,Simulated Hakka sentence 32,IPA/Romanized for Hakka 32,模擬的普通話句子 32,Simulated English translation 32,public_services,voices/hakka/000182.wav,"{""age"": 45, ""gender"": ""female"", ""region"": ""Singapore""}"
000183,Hakka,Simulated Hakka sentence 33,IPA/Romanized for Hakka 33,模擬的普通話句子 33,Simulated English translation 33,food,voices/hakka/000183.wav,"{""age"": 50, ""gender"": ""female"", ""region"": ""Malaysia""}"
000184,Hakka,Simulated Hakka sentence 34,IPA/Romanized for Hakka 34,模擬的普通話句子 34,Simulated English translation 34,directions,voices/hakka/000184.wav,"{""age"": 32, ""gender"": ""male"", ""region"": ""Malaysia""}"
000185,Hakka,Simulated Hakka sentence 35,IPA/Romanized for Hakka 35,模擬的普通話句子 35,Simulated English translation 35,public_services,voices/hakka/000185.wav,"{""age"": 18, ""gender"": ""female"", ""region"": ""Singapore""}"
000186,Hakka,Simulated Hakka sentence 36,IPA/Romanized for Hakka 36,模擬的普通話句子 36,Simulated English translation 36,workplace,voices/hakka/000186.wav,"{""age"": 63, ""gender"": ""female"", ""region"": ""Malaysia""}"
000187,Hakka,Simulated Hakka sentence 37,IPA/Romanized for Hakka 37,模擬的普通話句子 37,Simulated English translation 37,directions,voices/hakka/000187.wav,"{""age"": 32, ""gender"": ""male"", ""region"": ""Singapore""}"
000188,Hakka,Simulated Hakka sentence 38,IPA/Romanized for Hakka 38,模擬的普通話句子 38,Simulated English translation 38,food,voices/hakka/000188.wav,"{""age"": 68, ""gender"": ""male"", ""region"": ""Malaysia""}"
000189,Hakka,Simulated Hakka sentence 39,IPA/Romanized for Hakka 39,模擬的普通話句子 39,Simulated English translation 39,healthcare,voices/hakka/000189.wav,"{""age"": 25, ""gender"": ""male"", ""region"": ""Malaysia""}"
000190,Hakka,Simulated Hakka sentence 40,IPA/Romanized for Hakka 40,模擬的普通話句子 40,Simulated English translation 40,directions,voices/hakka/000190.wav,"{""age"": 45, ""gender"": ""female"", ""region"": ""Singapore""}"
000191,Hakka,Simulated Hakka sentence 41,IPA/Romanized for Hakka 41,模擬的普通話句子 41,Simulated English translation 41,directions,voices/hakka/000191.wav,"{""age"": 49, ""gender"": ""male"", ""region"": ""Malaysia""}"
000192,Hakka,Simulated Hakka sentence 42,IPA/Romanized for Hakka 42,模擬的普通話句子 42,Simulated English translation 42,workplace,voices/hakka/000192.wav,"{""age"": 31, ""gender"": ""male"", ""region"": ""Singapore""}"
000193,Hakka,Simulated Hakka sentence 43,IPA/Romanized for Hakka 43,模擬的普通話句子 43,Simulated English translation 43,food,voices/hakka/000193.wav,"{""age"": 26, ""gender"": ""male"", ""region"": ""Malaysia""}"
000194,Hakka,Simulated Hakka sentence 44,IPA/Romanized for Hakka 44,模擬的普通話句子 44,Simulated English translation 44,food,voices/hakka/000194.wav,"{""age"": 42, ""gender"": ""female"", ""region"": ""Singapore""}"
000195,Hakka,Simulated Hakka sentence 45,IPA/Romanized for Hakka 45,模擬的普通話句子 45,Simulated English translation 45,directions,voices/hakka/000195.wav,"{""age"": 34, ""gender"": ""male"", ""region"": ""Singapore""}"
000196,Hakka,Simulated Hakka sentence 46,IPA/Romanized for Hakka 46,模擬的普通話句子 46,Simulated English translation 46,healthcare,voices/hakka/000196.wav,"{""age"": 55, ""gender"": ""male"", ""region"": ""Malaysia""}"
000197,Hakka,Simulated Hakka sentence 47,IPA/Romanized for Hakka 47,模擬的普通話句子 47,Simulated English translation 47,daily_conversation,voices/hakka/000197.wav,"{""age"": 42, ""gender"": ""male"", ""region"": ""Singapore""}"
000198,Hakka,Simulated Hakka sentence 48,IPA/Romanized for Hakka 48,模擬的普通話句子 48,Simulated English translation 48,healthcare,voices/hakka/000198.wav,"{""age"": 64, ""gender"": ""female"", ""region"": ""Singapore""}"
000199,Hakka,Simulated Hakka sentence 49,IPA/Romanized for Hakka 49,模擬的普通話句子 49,Simulated English translation 49,public_services,voices/hakka/000199.wav,"{""age"": 58, ""gender"": ""male"", ""region"": ""Singapore""}"
000200,Hakka,Simulated Hakka sentence 50,IPA/Romanized for Hakka 50,模擬的普通話句子 50,Simulated English translation 50,healthcare,voices/hakka/000200.wav,"{""age"": 63, ""gender"": ""female"", ""region"": ""Malaysia""}"
